Indicator,Group,State,Subgroup,Time Period Label,Value,LowCI,HighCI,Confidence Interval,Start_Date,End_Date,period,total_cases,avg_cases
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Aug 19 - Aug 31,8.1,6.9,9.4,6.9 - 9.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Aug 19 - Aug 31,22.1,19.3,25.2,19.3 - 25.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Less than a high school diploma,Aug 19 - Aug 31,17.4,14.9,20.1,14.9 - 20.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,High school diploma or GED,Aug 19 - Aug 31,18.1,17.2,19.1,17.2 - 19.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Aug 19 - Aug 31,21,20.2,21.8,20.2 - 21.8,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Aug 19 - Aug 31,19.4,19,19.9,19.0 - 19.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alabama,Alabama,Aug 19 - Aug 31,22.3,19.6,25.1,19.6 - 25.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Alaska,Alaska,Aug 19 - Aug 31,16.7,14.2,19.5,14.2 - 19.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arizona,Arizona,Aug 19 - Aug 31,18.3,16.1,20.7,16.1 - 20.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Arkansas,Arkansas,Aug 19 - Aug 31,24.1,20.8,27.7,20.8 - 27.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,California,California,Aug 19 - Aug 31,15.8,14.4,17.4,14.4 - 17.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Colorado,Colorado,Aug 19 - Aug 31,17,15.1,19.1,15.1 - 19.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Connecticut,Connecticut,Aug 19 - Aug 31,18.8,15.7,22.3,15.7 - 22.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Delaware,Delaware,Aug 19 - Aug 31,19.8,16.4,23.6,16.4 - 23.6,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,District of Columbia,District of Columbia,Aug 19 - Aug 31,18,13.8,22.8,13.8 - 22.8,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Florida,Florida,Aug 19 - Aug 31,19,16.4,21.7,16.4 - 21.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Georgia,Georgia,Aug 19 - Aug 31,21.1,18.5,23.9,18.5 - 23.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Hawaii,Hawaii,Aug 19 - Aug 31,12.2,9.8,15,9.8 - 15.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Idaho,Idaho,Aug 19 - Aug 31,22.5,19.8,25.4,19.8 - 25.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Illinois,Illinois,Aug 19 - Aug 31,17.2,14.9,19.6,14.9 - 19.6,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Indiana,Indiana,Aug 19 - Aug 31,23.5,20.7,26.4,20.7 - 26.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Iowa,Iowa,Aug 19 - Aug 31,23.1,19.9,26.5,19.9 - 26.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kansas,Kansas,Aug 19 - Aug 31,21.2,17.9,24.7,17.9 - 24.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Kentucky,Kentucky,Aug 19 - Aug 31,26.8,23,30.9,23.0 - 30.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Louisiana,Louisiana,Aug 19 - Aug 31,23.6,20.6,26.9,20.6 - 26.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maine,Maine,Aug 19 - Aug 31,23.1,19.4,27.1,19.4 - 27.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Maryland,Maryland,Aug 19 - Aug 31,17.1,15.1,19.3,15.1 - 19.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Massachusetts,Massachusetts,Aug 19 - Aug 31,19.9,18,21.9,18.0 - 21.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Michigan,Michigan,Aug 19 - Aug 31,20.4,17.7,23.3,17.7 - 23.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Minnesota,Minnesota,Aug 19 - Aug 31,20.6,18.3,23,18.3 - 23.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Mississippi,Mississippi,Aug 19 - Aug 31,20.8,17.4,24.7,17.4 - 24.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Missouri,Missouri,Aug 19 - Aug 31,23.7,21,26.6,21.0 - 26.6,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Montana,Montana,Aug 19 - Aug 31,18.4,15.5,21.5,15.5 - 21.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nebraska,Nebraska,Aug 19 - Aug 31,23.6,20.1,27.3,20.1 - 27.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Nevada,Nevada,Aug 19 - Aug 31,15,12.8,17.5,12.8 - 17.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Hampshire,New Hampshire,Aug 19 - Aug 31,21.1,17.4,25.2,17.4 - 25.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Jersey,New Jersey,Aug 19 - Aug 31,18.7,16.2,21.5,16.2 - 21.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New Mexico,New Mexico,Aug 19 - Aug 31,18.5,15.5,21.9,15.5 - 21.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,New York,New York,Aug 19 - Aug 31,17.8,15.3,20.5,15.3 - 20.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Carolina,North Carolina,Aug 19 - Aug 31,19.4,16.7,22.3,16.7 - 22.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,North Dakota,North Dakota,Aug 19 - Aug 31,19.6,15.8,23.9,15.8 - 23.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Ohio,Ohio,Aug 19 - Aug 31,21.7,18.4,25.4,18.4 - 25.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oklahoma,Oklahoma,Aug 19 - Aug 31,21.9,19.1,24.8,19.1 - 24.8,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Oregon,Oregon,Aug 19 - Aug 31,22.9,20.1,25.9,20.1 - 25.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Aug 19 - Aug 31,22.1,19.1,25.3,19.1 - 25.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Rhode Island,Rhode Island,Aug 19 - Aug 31,23.1,19.4,27.2,19.4 - 27.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Carolina,South Carolina,Aug 19 - Aug 31,20.5,17.8,23.4,17.8 - 23.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,South Dakota,South Dakota,Aug 19 - Aug 31,17.8,14.2,21.7,14.2 - 21.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Tennessee,Tennessee,Aug 19 - Aug 31,21.2,18.4,24.1,18.4 - 24.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Texas,Texas,Aug 19 - Aug 31,16.4,14.4,18.5,14.4 - 18.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Utah,Utah,Aug 19 - Aug 31,23.9,21.1,26.8,21.1 - 26.8,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Vermont,Vermont,Aug 19 - Aug 31,23.2,18.5,28.5,18.5 - 28.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Virginia,Virginia,Aug 19 - Aug 31,18.9,16.6,21.5,16.6 - 21.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Washington,Washington,Aug 19 - Aug 31,20.9,19.3,22.6,19.3 - 22.6,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,West Virginia,West Virginia,Aug 19 - Aug 31,22.4,18.8,26.3,18.8 - 26.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wisconsin,Wisconsin,Aug 19 - Aug 31,19.7,17.3,22.2,17.3 - 22.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Took Prescription Medication for Mental Health, Last 4 Weeks",By State,Wyoming,Wyoming,Aug 19 - Aug 31,18.7,15,22.7,15.0 - 22.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",National Estimate,United States,United States,Aug 19 - Aug 31,8.7,8.3,9.2,8.3 - 9.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,18 - 29 years,Aug 19 - Aug 31,12.2,10.9,13.7,10.9 - 13.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,30 - 39 years,Aug 19 - Aug 31,11.7,11,12.6,11.0 - 12.6,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,40 - 49 years,Aug 19 - Aug 31,10,9.4,10.5,9.4 - 10.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,50 - 59 years,Aug 19 - Aug 31,8.4,7.6,9.2,7.6 - 9.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,60 - 69 years,Aug 19 - Aug 31,5.4,4.9,6,4.9 - 6.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,70 - 79 years,Aug 19 - Aug 31,4.1,3.4,5,3.4 - 5.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Age,United States,80 years and above,Aug 19 - Aug 31,3,2,4.4,2.0 - 4.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Male,Aug 19 - Aug 31,6.7,6.2,7.3,6.2 - 7.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Sex,United States,Female,Aug 19 - Aug 31,10.6,10.1,11.2,10.1 - 11.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Did not experience symptoms of anxiety/depression in the past 4 weeks,Aug 19 - Aug 31,4.8,4.5,5.1,4.5 - 5.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Presence of Symptoms of Anxiety/Depression,United States,Experienced symptoms of anxiety/depression in past 4 weeks,Aug 19 - Aug 31,15.7,14.8,16.6,14.8 - 16.6,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,Hispanic or Latino,Aug 19 - Aug 31,7.3,6.2,8.4,6.2 - 8.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic white, single race",Aug 19 - Aug 31,9.4,8.9,9.8,8.9 - 9.8,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic black, single race",Aug 19 - Aug 31,7.7,6.7,8.7,6.7 - 8.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic Asian, single race",Aug 19 - Aug 31,6.2,5.1,7.5,5.1 - 7.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Race/Hispanic ethnicity,United States,"Non-Hispanic, other races and multiple races",Aug 19 - Aug 31,10.6,9,12.4,9.0 - 12.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Less than a high school diploma,Aug 19 - Aug 31,7.1,5.6,8.8,5.6 - 8.8,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,High school diploma or GED,Aug 19 - Aug 31,6.6,5.9,7.5,5.9 - 7.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Some college/Associate's degree,Aug 19 - Aug 31,8.7,8,9.4,8.0 - 9.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By Education,United States,Bachelor's degree or higher,Aug 19 - Aug 31,11.1,10.6,11.5,10.6 - 11.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Alabama,Alabama,Aug 19 - Aug 31,8.5,6.5,10.9,6.5 - 10.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Alaska,Alaska,Aug 19 - Aug 31,7.5,6.2,9,6.2 - 9.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Arizona,Arizona,Aug 19 - Aug 31,7.3,5.6,9.3,5.6 - 9.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Arkansas,Arkansas,Aug 19 - Aug 31,6.1,4.4,8.1,4.4 - 8.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,California,California,Aug 19 - Aug 31,9.5,8.1,11,8.1 - 11.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Colorado,Colorado,Aug 19 - Aug 31,10.1,8.4,12.1,8.4 - 12.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Connecticut,Connecticut,Aug 19 - Aug 31,12.3,9.7,15.3,9.7 - 15.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Delaware,Delaware,Aug 19 - Aug 31,10,7.4,13,7.4 - 13.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,District of Columbia,District of Columbia,Aug 19 - Aug 31,19.1,13.9,25.3,13.9 - 25.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Florida,Florida,Aug 19 - Aug 31,7.8,6.4,9.5,6.4 - 9.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Georgia,Georgia,Aug 19 - Aug 31,7.9,5.9,10.2,5.9 - 10.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Hawaii,Hawaii,Aug 19 - Aug 31,11.9,8.4,16.1,8.4 - 16.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Idaho,Idaho,Aug 19 - Aug 31,8.3,6.5,10.4,6.5 - 10.4,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Illinois,Illinois,Aug 19 - Aug 31,8.8,7.2,10.7,7.2 - 10.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Indiana,Indiana,Aug 19 - Aug 31,6.8,5.2,8.7,5.2 - 8.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Iowa,Iowa,Aug 19 - Aug 31,8.1,6.6,9.7,6.6 - 9.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Kansas,Kansas,Aug 19 - Aug 31,7.7,6,9.7,6.0 - 9.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Kentucky,Kentucky,Aug 19 - Aug 31,5.8,4.2,7.9,4.2 - 7.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Louisiana,Louisiana,Aug 19 - Aug 31,9.5,7.3,12.1,7.3 - 12.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Maine,Maine,Aug 19 - Aug 31,12.4,9.2,16.1,9.2 - 16.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Maryland,Maryland,Aug 19 - Aug 31,8.7,7.5,10.1,7.5 - 10.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Massachusetts,Massachusetts,Aug 19 - Aug 31,12.7,11.3,14.2,11.3 - 14.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Michigan,Michigan,Aug 19 - Aug 31,9,7.2,11.2,7.2 - 11.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Minnesota,Minnesota,Aug 19 - Aug 31,9.5,8.2,10.9,8.2 - 10.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Mississippi,Mississippi,Aug 19 - Aug 31,6.8,4.8,9.3,4.8 - 9.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Missouri,Missouri,Aug 19 - Aug 31,7.9,5.9,10.2,5.9 - 10.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Montana,Montana,Aug 19 - Aug 31,9.2,7.1,11.7,7.1 - 11.7,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Nebraska,Nebraska,Aug 19 - Aug 31,6.8,5,8.9,5.0 - 8.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Nevada,Nevada,Aug 19 - Aug 31,6.7,5.3,8.3,5.3 - 8.3,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,New Hampshire,New Hampshire,Aug 19 - Aug 31,7.1,5.4,9.2,5.4 - 9.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,New Jersey,New Jersey,Aug 19 - Aug 31,9.3,7.7,11,7.7 - 11.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,New Mexico,New Mexico,Aug 19 - Aug 31,10.1,8,12.5,8.0 - 12.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,New York,New York,Aug 19 - Aug 31,10.5,9,12,9.0 - 12.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,North Carolina,North Carolina,Aug 19 - Aug 31,8.9,6.9,11.2,6.9 - 11.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,North Dakota,North Dakota,Aug 19 - Aug 31,4.9,3.3,6.9,3.3 - 6.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Ohio,Ohio,Aug 19 - Aug 31,9.6,7.4,12.1,7.4 - 12.1,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Oklahoma,Oklahoma,Aug 19 - Aug 31,7.5,5.5,9.9,5.5 - 9.9,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Oregon,Oregon,Aug 19 - Aug 31,13,11,15.2,11.0 - 15.2,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Pennsylvania,Pennsylvania,Aug 19 - Aug 31,9.3,7.9,10.8,7.9 - 10.8,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,Rhode Island,Rhode Island,Aug 19 - Aug 31,13.5,10.6,17,10.6 - 17.0,2020-08-19,2020-08-31,13,504022,42001.833333333336
"Received Counseling or Therapy, Last 4 Weeks",By State,South Carolina,South Carolina,Aug 19 - Aug 31,5.4,3.8,7.5,3.8 - 7.5,2020-08-19,2020-08-31,13,504022,42001.833333333336
